t,X,Y,Z
0.037,440,360,0.922066
0.052,440,360,0.922
0.084,440,360,0.9219167
0.119,440,360,0.9218655
0.152,440,360,0.9219773
0.182,440,360,0.9219737
0.219,440,360,0.9220963
0.251,440,360,0.9220003
0.282,440,360,0.9219987
0.318,440,360,0.9219505
0.351,440,360,0.9219334
0.385,440,360,0.9219376
0.418,440,360,0.9222153
0.45,440,360,0.9221951
0.482,440,360,0.9221267
0.521,440,360,0.9223551
0.55,440,360,0.9223442
0.586,440,360,0.92234
0.623,440,360,0.9223592
0.651,440,360,0.9223021
0.687,440,360,0.9223703
0.72,440,360,0.9224598
0.75,440,360,0.9225388
0.787,440,360,0.9227334
0.819,440,360,0.9227245
0.85,440,360,0.9231282
0.895,440,360,0.9231952
0.919,440,360,0.9232985
0.95,440,360,0.9234321
0.987,440,360,0.9236409
1.021,440,360,0.9240921
1.051,440,360,0.9243348
1.088,440,359,0.9244443
1.118,440,359,0.9245784
1.153,440,359,0.924733
1.187,440,359,0.9248433
1.221,440,359,0.9248493
1.251,439,359,0.9250113
1.288,439,359,0.925145
1.319,439,359,0.9251959
1.353,439,359,0.9253018
1.386,439,359,0.9254367
1.42,439,359,0.9255061
1.45,439,359,0.9253969
1.487,439,359,0.9258914
1.519,439,359,0.925631
1.551,439,359,0.9257017
1.587,439,359,0.9259103
1.619,439,359,0.9260103
1.651,439,359,0.9260718
1.689,439,359,0.9260002
1.72,439,359,0.9263206
1.755,439,359,0.9264488
1.786,439,359,0.9265327
1.821,439,359,0.9265187
1.854,439,359,0.9265064
1.887,439,359,0.9265369
1.918,439,359,0.9262171
1.954,439,359,0.9261183
1.986,439,359,0.9264631
2.018,439,359,0.9262599
2.057,438,359,0.926502
2.087,438,359,0.9267885
2.122,438,359,0.9265216
2.155,438,359,0.9264404
2.189,438,359,0.9263509
2.219,438,359,0.9263368
2.256,438,359,0.9266362
2.287,438,359,0.9275384
2.32,438,359,0.9275666
2.354,438,359,0.9273785
2.386,438,359,0.9276894
2.42,438,359,0.9276072
2.455,438,359,0.9312303
2.487,439,358,0.9452587
2.52,440,356,0.9470965
2.555,441,353,0.9516765
2.587,441,348,0.9654122
2.621,434,341,0.9827468
2.655,428,325,0.9859291
2.687,448,295,0.9625551
2.719,446,289,0.9650301
2.755,448,265,0.9620731
2.789,444,260,0.9683241
2.818,420,253,0.9929975
2.855,417,297,1.074689
2.889,419,294,1.081593
2.922,420,294,1.086537
2.956,427,283,1.094286
2.987,435,285,1.098704
3.023,444,271,1.077281
3.055,429,271,1.084861
3.087,433,249,1.056486
3.122,433,248,1.056379
3.155,423,206,1.036749
3.189,423,207,1.037198
3.223,423,207,1.038308
3.255,423,209,1.040033
3.287,424,216,1.047446
3.323,423,214,1.046638
3.355,423,213,1.046638
3.387,423,212,1.046928
3.422,423,212,1.047168
3.455,422,212,1.047372
3.487,422,212,1.047295
3.523,404,153,1.019189
3.555,409,128,1.040194
3.594,409,128,1.039994
3.623,409,128,1.039735
3.658,410,128,1.03952
3.698,397,154,1.049887
3.725,420,131,1.034241
3.755,397,157,1.050437
3.794,397,157,1.050486
3.824,418,134,1.030185
3.857,418,134,1.030148
3.887,417,132,1.029829
3.923,417,132,1.029478
3.954,418,132,1.028872
3.988,419,131,1.026978
4.023,423,131,1.022068
4.055,423,131,1.020529
4.087,423,133,1.020764
4.122,424,135,1.021616
4.159,425,142,1.025341
4.194,425,144,1.02398
4.225,432,145,0.9941687
4.255,432,146,0.9944511
4.295,430,148,0.9922985
4.323,429,153,0.9952942
4.358,429,158,1.002141
4.391,429,163,1.006891
4.427,430,166,1.008393
4.455,431,167,1.008872
4.495,432,168,1.009253
4.526,432,169,1.009475
4.556,432,171,1.009985
4.59,432,172,1.010187
4.623,432,172,1.010658
4.655,432,173,1.011306
4.697,432,173,1.01222
4.726,432,174,1.013469
4.757,432,175,1.015008
4.794,433,176,1.017476
4.823,433,176,1.019532
4.854,433,176,1.02074
4.896,434,176,1.021208
4.922,434,176,1.021804
4.957,436,176,1.022629
4.991,438,175,1.022285
5.023,455,162,1.006792
5.055,456,162,1.010914
5.091,458,161,1.011426
5.123,460,159,1.011624
5.156,450,212,1.084457
5.191,450,213,1.085555
5.223,450,214,1.087921
5.254,451,214,1.088292
