t,X,Y,Z
10.958,465,324,1.028155
10.994,464,325,1.030876
11.026,452,323,1.029877
11.059,437,309,1.015863
11.092,431,306,1.014769
11.124,423,298,1.01425
11.158,409,283,1.012201
11.194,402,278,1.015586
11.226,369,282,1.039495
11.256,357,274,1.043296
11.291,345,261,1.048482
11.324,335,247,1.055778
11.36,327,246,1.066604
11.39,337,223,1.049229
11.423,335,221,1.06024
11.457,331,217,1.079929
11.49,330,215,1.093845
11.522,287,193,1.064327
11.558,308,150,1.128832
11.592,291,182,1.165306
11.626,291,180,1.144859
11.657,291,180,1.142306
11.693,291,178,1.142035
11.723,291,177,1.14145
11.759,291,177,1.141341
11.791,292,176,1.141341
11.824,336,141,1.167263
11.858,307,143,1.131091
11.89,307,143,1.13102
11.923,307,143,1.131957
11.956,307,144,1.130289
11.991,306,144,1.129676
12.024,306,146,1.127719
12.06,294,178,1.138375
12.091,294,178,1.137995
12.125,312,147,1.08829
12.158,311,147,1.093701
12.191,312,147,1.098507
12.225,294,180,1.123864
12.258,307,150,1.088087
12.29,291,181,1.12623
12.325,292,184,1.104295
12.36,292,184,1.107695
12.392,292,184,1.110757
12.426,292,183,1.114157
12.459,292,183,1.115629
12.492,293,182,1.118169
12.525,292,183,1.117275
12.558,292,184,1.11797
12.592,292,184,1.119773
12.625,291,184,1.119283
12.661,291,185,1.119465
12.692,290,186,1.119301
12.726,290,187,1.11734
12.76,289,187,1.115015
12.793,289,188,1.112798
12.83,289,188,1.111878
12.862,289,189,1.11163
12.891,289,189,1.109632
12.926,289,190,1.107832
12.963,289,190,1.108316
12.991,289,188,1.109259
13.027,321,169,1.110725
13.061,321,169,1.110699
13.09,321,169,1.11047
13.127,320,169,1.10963
13.16,319,169,1.110505
13.191,318,169,1.110194
13.226,317,169,1.109701
13.258,307,143,1.097849
13.292,316,169,1.109233
13.327,316,169,1.1098
13.36,316,169,1.110294
13.393,316,169,1.109823
13.429,316,169,1.109779
13.459,316,169,1.109727
13.492,316,169,1.109624
13.528,316,169,1.108461
13.558,316,170,1.108104
13.595,316,170,1.107966
13.628,316,170,1.107803
13.66,316,171,1.107197
13.695,316,171,1.106359
13.727,316,172,1.105845
13.76,291,163,1.084701
13.794,314,152,1.089115
13.827,314,152,1.089444
13.861,314,152,1.090229
13.894,313,152,1.090896
13.928,323,154,1.078379
13.958,341,190,1.110591
13.994,339,163,1.087701
14.026,348,166,1.090455
14.06,352,180,1.101899
14.092,359,184,1.105151
14.128,362,230,1.190884
14.159,374,230,1.195325
14.197,397,304,1.252735
14.227,404,249,1.174615
14.26,415,185,1.123092
14.293,417,185,1.123132
14.33,420,186,1.125862
14.363,462,190,1.155084
14.397,459,189,1.153928
14.427,430,232,1.243377
14.463,444,261,1.236915
14.499,448,264,1.235331
14.531,449,264,1.23633
14.564,451,265,1.237528
14.599,443,284,1.268192
14.629,452,267,1.242354
14.664,442,287,1.267001
14.701,442,286,1.266844
14.726,450,269,1.237957
14.765,446,295,1.270222
14.797,444,302,1.261441
14.832,441,302,1.255444
14.862,437,301,1.242487
14.896,434,300,1.235633
14.929,453,224,1.112862
14.96,419,256,1.182355
14.995,432,235,1.084639
15.027,426,238,1.072713
15.061,416,242,1.055482
15.095,407,243,1.040079
15.127,392,247,1.019396
15.162,394,249,1.010783
15.195,355,283,1.02476
15.226,353,286,1.022667
15.263,351,290,1.017228
15.296,346,294,1.011119
15.326,339,301,1.007416
15.361,335,305,1.006357
15.395,333,306,1.005777
15.426,331,308,1.005645
15.461,330,308,1.005592
15.495,330,308,1.005773
15.527,332,302,1.005666
15.561,335,297,1.00761
15.594,338,292,1.011826
15.627,340,287,1.018768
15.661,341,281,1.028018
15.7,341,277,1.034616
15.731,349,251,1.049274
15.764,346,249,1.051456
15.797,356,227,1.069025
15.828,362,213,1.076313
15.869,361,216,1.086969
15.897,363,216,1.099067
