t,X,Y,Z
8.182,308,149,1.088379
8.213,291,181,1.126209
8.25,292,184,1.104403
8.282,292,184,1.107881
8.315,292,184,1.11099
8.347,292,183,1.114322
8.386,292,183,1.115683
8.415,293,182,1.118114
8.452,293,182,1.120033
8.483,292,180,1.126267
8.516,292,179,1.132743
8.548,291,179,1.132615
8.584,291,180,1.133809
8.614,291,181,1.134302
8.654,290,182,1.132139
8.683,289,182,1.129126
8.716,288,183,1.126274
8.749,287,184,1.125976
8.786,287,184,1.126179
8.815,288,184,1.122915
8.852,287,185,1.119698
8.882,286,185,1.121698
8.919,289,186,1.115001
8.948,321,169,1.110567
8.988,321,169,1.110541
9.015,321,169,1.110312
9.053,320,169,1.109473
9.085,319,169,1.110347
9.118,318,169,1.110037
9.15,317,169,1.109544
9.183,307,143,1.097693
9.216,316,169,1.109077
9.254,316,169,1.109644
9.284,316,169,1.110139
9.316,316,169,1.109668
9.351,316,169,1.109625
9.384,316,169,1.109573
9.417,316,169,1.10947
9.453,316,169,1.108308
9.486,316,170,1.107951
9.519,316,170,1.107813
9.552,316,170,1.107651
9.584,316,171,1.107045
9.619,316,171,1.106207
9.65,316,172,1.105704
9.683,291,163,1.084635
9.717,314,152,1.088986
9.752,314,152,1.089315
9.783,314,152,1.090109
9.817,313,152,1.090781
9.853,323,154,1.078588
9.883,341,190,1.110462
9.917,337,157,1.087434
9.951,346,163,1.08948
9.983,339,148,1.106362
10.021,336,152,1.125419
10.049,366,188,1.11116
10.083,385,186,1.113266
10.115,400,188,1.121243
10.152,396,198,1.123447
10.186,396,206,1.12498
10.226,404,212,1.130508
10.251,424,189,1.129559
10.286,427,190,1.130714
10.317,455,187,1.151796
10.352,430,232,1.244493
10.382,444,262,1.23804
10.425,448,264,1.236356
10.451,449,265,1.237244
10.49,450,265,1.238356
10.52,451,266,1.239024
10.556,452,267,1.240936
10.587,452,267,1.241073
10.625,452,268,1.240716
10.654,451,268,1.239727
10.688,449,270,1.239666
10.72,448,271,1.235981
10.751,437,261,1.253881
10.787,432,260,1.237697
10.821,430,261,1.232701
10.849,453,224,1.112741
10.89,444,228,1.099387
10.921,432,235,1.084129
10.954,426,238,1.072652
10.984,416,242,1.055309
11.02,407,243,1.039984
11.053,392,247,1.019262
11.087,394,249,1.010653
11.119,355,283,1.024642
11.152,353,286,1.022549
11.186,351,290,1.017111
11.217,346,294,1.011002
11.25,339,301,1.0075
11.287,335,305,1.006379
11.319,333,307,1.005754
11.349,331,308,1.005594
11.384,330,308,1.00553
11.418,330,308,1.005711
11.45,332,302,1.00558
11.487,335,297,1.00751
11.52,338,292,1.011719
11.552,340,287,1.018657
11.588,341,281,1.027907
11.619,341,277,1.034504
11.656,349,251,1.049161
11.689,346,249,1.051343
11.73,356,227,1.068912
11.755,362,213,1.076201
11.787,361,216,1.086857
11.82,363,216,1.098955
11.853,375,176,1.116688
11.887,372,178,1.123094
11.921,371,177,1.129954
11.951,375,169,1.149573
11.99,376,168,1.155847
12.017,375,166,1.160057
