t,X,Y,Z
1.344,273,151,0.920015
1.377,239,193,0.932098
1.411,231,203,0.9351931
1.443,226,209,0.9371997
1.479,222,213,0.9385767
1.511,220,215,0.9395761
1.543,219,216,0.9404204
1.577,217,217,0.9412145
1.609,216,216,0.9419689
1.642,214,216,0.9426676
1.68,213,213,0.94336
1.71,211,210,0.9439582
1.742,210,207,0.9444675
1.777,210,204,0.9449006
1.812,209,203,0.9452601
1.842,209,200,0.9455271
1.884,208,199,0.945711
1.909,208,196,0.9454723
1.942,208,196,0.9454799
1.978,208,195,0.945446
2.01,208,193,0.9453957
2.047,208,192,0.9453351
2.079,207,191,0.9452605
2.111,207,190,0.9451837
2.146,207,189,0.9450777
2.178,207,189,0.9449762
2.214,207,188,0.9448817
2.245,207,187,0.944796
2.277,207,187,0.944719
2.314,207,187,0.944647
2.345,207,187,0.9445738
2.377,207,186,0.9445024
2.41,207,186,0.9444334
2.457,207,186,0.9443496
2.481,206,186,0.9442316
2.51,206,185,0.9440632
2.546,206,185,0.9438367
2.577,205,185,0.9435729
2.611,204,185,0.9432866
2.645,201,185,0.942318
2.678,198,185,0.9413816
2.709,195,186,0.9405084
2.746,193,188,0.9396062
2.779,192,191,0.9388681
2.81,191,193,0.9382859
2.847,177,191,0.9354932
2.878,166,188,0.9332254
2.911,157,187,0.9315357
2.945,149,185,0.9303165
2.979,144,183,0.9294388
3.01,140,182,0.9287288
3.045,137,181,0.9281281
3.079,135,180,0.9275202
3.11,133,180,0.9268352
3.145,132,179,0.9259732
3.181,132,179,0.9244771
3.212,132,178,0.9214954
3.245,132,178,0.9162592
3.277,133,179,0.9074652
3.313,135,180,0.8958945
3.345,149,187,0.8823968
3.377,160,194,0.8710321
3.415,176,205,0.8600618
3.446,187,217,0.8514683
3.477,196,228,0.8445483
3.513,202,236,0.8214582
3.544,194,274,0.8004742
3.577,197,284,0.796096
3.626,196,289,0.7848193
3.645,197,293,0.7798363
3.678,198,296,0.7803828
3.713,200,298,0.7821597
3.745,201,300,0.7845492
3.777,202,301,0.7873287
3.813,201,302,0.7903107
3.845,200,302,0.7935798
3.88,197,301,0.7974688
3.913,192,301,0.8017761
3.945,185,299,0.8060669
3.979,176,295,0.8104458
4.013,167,292,0.8143575
4.046,156,284,0.818265
4.077,148,275,0.8219316
