t,X,Y,Z
11.81,237,356,0.9717046
11.84,236,355,0.9723048
11.874,237,355,0.9725313
11.91,236,355,0.9728768
11.945,238,355,0.9733523
11.974,239,355,0.9737841
12.009,240,355,0.9741892
12.044,242,354,0.9746056
12.074,243,354,0.9749799
12.117,245,354,0.975365
12.153,245,354,0.9756724
12.177,246,354,0.9759476
12.212,247,354,0.9761782
12.246,248,354,0.976391
12.276,249,353,0.9765891
12.314,250,353,0.9767686
12.345,251,353,0.9769279
12.381,252,353,0.9771906
12.411,253,352,0.9774567
12.441,254,352,0.9776196
12.476,254,352,0.9778115
12.508,255,351,0.9779763
12.54,256,351,0.9780868
12.577,254,350,0.9766827
12.61,254,350,0.9760825
12.64,255,350,0.9755456
12.676,255,349,0.9751437
12.71,256,349,0.9748229
12.743,256,349,0.9745482
12.776,256,359,0.9642645
12.81,256,360,0.9624656
12.84,257,361,0.96126
12.877,256,369,0.9531978
12.91,257,369,0.9521098
12.941,254,368,0.9502832
12.978,250,366,0.9488472
13.008,247,364,0.9476919
13.044,246,363,0.9479363
13.076,247,362,0.9486008
13.11,248,361,0.9494212
13.139,249,360,0.9501639
13.176,249,359,0.9507926
13.211,250,358,0.9514574
13.244,250,362,0.9494443
13.276,247,359,0.9509568
13.309,240,341,0.9637628
13.34,237,327,0.9769599
13.377,232,316,0.9852204
13.411,230,315,0.9858147
13.444,228,315,0.9850447
13.478,227,317,0.9835278
13.509,226,319,0.9815758
13.545,225,321,0.9796002
13.579,224,323,0.9778252
13.608,223,325,0.9765147
13.645,223,326,0.975511
13.677,222,328,0.974797
13.71,222,328,0.9742698
13.746,222,329,0.9739249
13.777,221,330,0.9737567
13.81,221,330,0.9736722
13.848,221,331,0.9736199
13.877,221,331,0.9736329
13.91,221,332,0.9737014
13.946,221,332,0.9738082
13.978,221,333,0.9739748
14.009,220,333,0.974169
14.046,220,333,0.9743919
14.077,220,334,0.9746475
14.108,220,334,0.9749128
14.147,220,334,0.9751803
14.178,220,335,0.975437
14.208,220,335,0.9757001
14.247,220,335,0.9759481
14.277,220,336,0.9761955
14.308,220,336,0.9764335
14.347,220,336,0.9766559
14.377,220,336,0.9768601
14.408,220,336,0.9770437
14.449,220,337,0.9772077
14.479,220,337,0.9773506
14.507,339,353,0.9439364
14.545,385,361,0.9338621
14.578,407,365,0.929104
14.607,427,369,0.9137518
14.646,439,372,0.903107
14.678,446,375,0.8951108
14.708,451,376,0.888692
14.745,452,377,0.8833987
14.781,453,378,0.8790333
14.813,453,378,0.8754895
14.847,452,379,0.8726866
14.877,451,379,0.8704841
14.915,451,379,0.868746
14.947,449,379,0.8673495
14.977,449,378,0.8658981
15.013,447,377,0.863004
15.047,446,374,0.8598572
15.078,444,369,0.8573135
15.115,438,363,0.8602168
15.148,434,358,0.8619812
15.18,429,352,0.8632042
15.215,424,346,0.8629088
15.246,418,341,0.8615183
15.276,419,339,0.8521965
15.313,418,341,0.8475135
15.346,348,268,0.7715563
15.377,296,248,0.7701285
15.418,265,244,0.7674268
15.451,254,248,0.7680212
19.155,433,438,0.878297
19.182,437,406,0.9045636
19.218,438,400,0.9100856
19.251,438,396,0.9135767
19.283,438,393,0.9157561
19.317,438,391,0.9170575
19.352,438,389,0.9175729
19.382,438,388,0.9175094
19.418,437,387,0.9174731
19.45,437,387,0.9167991
19.484,437,387,0.9164867
19.518,436,387,0.9163027
19.552,436,386,0.9155816
19.584,439,385,0.9080867
19.618,440,385,0.9060301
19.651,441,384,0.9019924
19.686,442,384,0.8980466
19.718,442,383,0.8958205
19.751,443,382,0.8931526
19.786,442,383,0.8994337
19.818,441,384,0.9060399
19.85,440,385,0.9123372
19.886,439,385,0.9182917
19.918,438,385,0.9237186
19.952,428,387,0.9484903
19.994,422,387,0.9703454
20.018,417,388,0.9868013
20.05,413,388,0.9989449
20.085,411,389,1.008126
20.117,409,389,1.014936
20.151,407,388,1.019909
20.186,406,388,1.023514
20.216,405,388,1.026141
20.251,405,388,1.028085
20.284,405,388,1.029492
20.318,405,385,1.02498
20.35,429,344,0.9470412
20.384,445,318,0.9042487
20.416,454,302,0.8797466
20.452,462,290,0.8643477
20.485,466,281,0.8548415
20.518,470,272,0.8489616
20.551,465,268,0.8573087
20.584,448,282,0.8939456
20.619,436,293,0.9228023
20.651,429,296,0.9398586
20.685,424,298,0.952427
20.718,421,299,0.9614873
20.75,418,299,0.9682563
20.784,416,299,0.9737165
20.817,416,295,0.9772514
20.85,416,291,0.9799467
20.885,416,288,0.9822099
20.916,416,284,0.9844753
20.955,416,282,0.986698
20.986,416,279,0.9890757
21.016,415,276,0.9913822
21.053,415,275,0.9935679
21.085,416,274,0.9960688
21.117,417,280,1.004815
21.153,417,286,1.012493
21.185,418,290,1.01891
21.219,419,294,1.023625
21.252,420,296,1.026562
21.284,421,298,1.028673
21.317,422,299,1.030231
21.353,423,299,1.031424
21.388,424,299,1.032349
21.416,424,300,1.033074
21.453,424,300,1.033604
21.485,424,299,1.034022
21.517,424,299,1.034337
21.554,425,299,1.034521
21.584,425,299,1.034626
21.617,425,299,1.034616
21.673,426,299,1.034504
21.684,426,299,1.034251
21.718,427,299,1.03388
21.753,427,300,1.033182
21.785,428,300,1.032354
21.817,429,300,1.031299
21.854,429,300,1.030124
21.885,430,300,1.028849
21.918,431,301,1.027433
21.952,431,301,1.025976
21.984,432,301,1.024336
22.017,432,302,1.022686
22.053,433,302,1.021192
22.084,432,305,1.023227
22.117,432,308,1.021553
22.152,432,311,1.021501
22.184,432,314,1.021385
22.229,431,316,1.019632
22.257,430,316,1.010628
22.288,445,308,0.9635773
22.326,456,301,0.9289253
22.358,466,295,0.9038292
22.389,472,286,0.8835946
22.424,475,283,0.8759102
22.457,476,281,0.8710596
22.489,477,281,0.8682763
22.525,477,280,0.8670451
22.557,478,278,0.8661137
22.586,478,277,0.8656787
22.621,477,276,0.8658158
22.653,477,275,0.8657923
22.684,476,275,0.8658478
22.72,476,274,0.8659286
22.752,475,274,0.8659985
22.784,475,274,0.8660265
22.832,475,273,0.8660093
22.858,474,273,0.8659355
22.886,474,273,0.865794
22.922,474,273,0.8656247
22.956,474,273,0.8653687
22.988,474,273,0.8648577
23.022,475,272,0.8641285
23.055,475,276,0.8624193
23.089,476,278,0.8604945
23.122,477,281,0.8574641
23.154,479,289,0.8531308
23.187,483,297,0.8496529
23.223,485,310,0.8456779
23.255,485,323,0.8433758
23.287,485,333,0.8420854
23.323,484,341,0.8419519
23.354,483,349,0.8427322
23.39,482,355,0.8445965
23.426,482,360,0.8453042
23.456,482,365,0.8481078
23.493,482,368,0.8530494
23.524,482,371,0.8576977
23.559,482,374,0.8620201
23.592,482,375,0.8658466
23.621,481,376,0.869135
23.653,483,379,0.8696188
23.689,485,384,0.8686929
23.722,495,388,0.8652426
23.757,497,394,0.8627598
23.789,498,394,0.8648617
23.822,497,392,0.8686617
23.862,500,395,0.8684145
23.889,501,396,0.868799
23.921,500,394,0.8729434
23.955,499,393,0.8735708
23.99,498,391,0.8729134
24.03,497,389,0.8717138
24.054,497,388,0.8699426
24.09,496,386,0.8678877
24.12,497,385,0.8657497
24.154,496,384,0.8635867
24.193,496,383,0.861527
24.22,496,381,0.8596529
24.253,496,380,0.8578157
24.289,496,378,0.8560698
24.321,496,377,0.8545572
24.354,495,376,0.8533064
24.388,495,376,0.8522981
24.42,496,375,0.8515662
24.452,496,374,0.8510403
24.489,496,374,0.8506494
24.521,496,374,0.850347
24.561,496,374,0.8501269
24.59,496,374,0.8499847
24.622,496,373,0.849891
24.656,496,373,0.8498409
24.69,496,373,0.84987
24.721,497,373,0.8499533
24.758,497,374,0.8501167
24.788,498,374,0.8503011
24.822,498,374,0.8503973
24.856,499,374,0.8505023
24.888,500,374,0.8505962
24.92,502,375,0.8504191
24.958,503,375,0.8502147
24.992,504,376,0.8509528
25.021,506,376,0.8517541
25.057,507,376,0.8526434
25.089,509,376,0.8560024
25.122,511,376,0.8596956
25.159,512,382,0.8652221
25.19,513,383,0.8687404
25.221,516,386,0.8741405
25.257,518,389,0.8783773
25.289,520,392,0.881276
25.321,522,393,0.884595
25.362,524,395,0.8871556
25.389,526,397,0.8892523
25.422,527,400,0.8910802
25.459,524,403,0.8926127
25.489,523,405,0.8934137
25.521,479,408,0.9069513
25.56,410,412,0.8714672
25.59,373,411,0.8534491
25.627,351,411,0.8421207
25.661,337,407,0.8365617
25.691,329,406,0.8331842
25.725,325,405,0.8309017
25.758,321,400,0.831354
25.793,320,395,0.832693
25.822,319,390,0.8349506
25.857,319,386,0.8371155
25.889,319,381,0.8409655
25.925,319,377,0.8439423
