t,X,Y,Z
3.746,146,316,0.869693
3.779,129,308,0.8586222
3.81,126,306,0.8566139
3.843,123,304,0.8552843
3.88,122,302,0.8543985
3.911,121,301,0.8537338
3.943,121,298,0.8536062
3.979,123,295,0.8536165
4.012,125,292,0.8539665
4.05,129,286,0.8560748
4.08,147,292,0.8602822
4.112,165,298,0.862079
4.147,196,302,0.8677421
4.18,213,303,0.8702387
4.211,225,302,0.872201
4.248,232,301,0.8731937
4.279,237,300,0.8736861
4.316,242,296,0.8735686
4.346,245,290,0.8716474
4.377,252,282,0.8666831
4.408,252,268,0.8584958
4.444,251,253,0.8506278
4.476,250,231,0.844655
4.508,250,213,0.8403402
4.544,274,217,0.8409475
4.575,298,234,0.840449
4.607,319,249,0.8424005
4.648,332,257,0.8450683
4.677,341,263,0.8471867
4.709,347,266,0.8488296
4.744,352,268,0.8504229
4.776,356,269,0.8518385
4.81,359,269,0.8538762
4.843,361,268,0.8554891
4.875,364,267,0.8568809
4.908,365,267,0.8579508
7.157,492,403,0.9096479
7.183,487,402,0.9231508
7.214,486,402,0.9258124
7.246,485,402,0.9288525
7.283,485,402,0.9333621
7.315,485,402,0.938907
7.345,486,402,0.9453183
7.382,487,402,0.9522259
7.416,488,402,0.9588972
7.447,489,402,0.9639119
7.483,492,401,0.9645227
7.517,502,390,0.9329548
7.551,511,380,0.9087675
7.585,518,369,0.8913309
7.617,523,359,0.8799085
7.65,528,348,0.8719386
7.685,531,337,0.8676785
7.715,535,326,0.8660523
7.754,537,316,0.8664129
7.791,537,308,0.8673931
7.818,538,300,0.8693567
7.854,539,292,0.8728632
7.885,539,284,0.8782901
7.917,538,276,0.8840683
7.955,537,264,0.8953644
7.988,535,255,0.9057314
8.016,533,249,0.913573
8.052,531,246,0.9197028
8.086,528,241,0.9330018
8.117,526,238,0.9438117
8.152,524,236,0.9508958
8.186,523,234,0.956645
8.216,522,233,0.9611425
8.252,521,232,0.9652045
8.284,520,231,0.9690966
8.319,519,230,0.972792
8.351,519,230,0.9762353
8.384,518,230,0.9793211
8.416,517,230,0.9821891
8.451,517,230,0.985053
8.488,516,230,0.9883346
8.517,512,228,0.9963585
8.553,511,226,1.0026
8.584,507,223,1.017514
8.621,506,223,1.021676
8.651,505,222,1.024531
8.684,505,222,1.028279
8.715,504,221,1.031571
8.751,504,221,1.034356
8.783,503,220,1.03704
8.815,503,220,1.039788
8.851,502,220,1.042907
8.883,501,220,1.046008
8.915,501,220,1.048974
8.952,501,220,1.051793
8.985,500,220,1.054468
9.02,500,220,1.057077
9.052,500,220,1.05939
9.084,499,220,1.062051
9.121,498,220,1.065603
9.152,495,220,1.068752
9.183,494,220,1.071495
9.221,493,220,1.074111
9.253,492,220,1.076483
9.283,492,220,1.078344
9.319,491,220,1.080033
9.351,490,220,1.081506
9.384,489,220,1.0828
9.418,489,220,1.083933
9.449,488,220,1.084924
9.482,488,220,1.085788
9.52,487,219,1.086544
9.552,487,219,1.087206
9.582,486,219,1.087787
9.618,486,219,1.0883
9.65,486,219,1.088762
9.682,485,219,1.089185
9.719,485,219,1.089578
9.75,485,219,1.089949
9.783,484,219,1.090308
9.817,484,219,1.09067
9.85,484,219,1.091023
9.882,483,219,1.091362
9.917,483,219,1.091703
9.951,483,219,1.092061
9.982,483,219,1.09243
10.017,485,219,1.091229
10.049,487,219,1.089952
10.083,489,220,1.088768
10.117,489,220,1.088731
10.149,490,220,1.088854
10.185,493,301,1.143033
10.217,489,353,1.168672
10.251,488,377,1.180306
10.287,488,387,1.186658
10.319,495,349,1.135868
10.351,498,335,1.119013
10.387,500,325,1.106661
10.418,501,316,1.097681
10.45,501,310,1.091179
10.485,502,306,1.086532
10.517,502,302,1.083108
10.551,503,298,1.080566
10.586,503,297,1.078699
10.618,503,295,1.07735
10.651,503,292,1.076716
10.686,503,290,1.076251
10.717,497,274,1.090804
10.75,495,271,1.092188
10.786,492,268,1.09501
10.818,492,264,1.097366
10.85,492,256,1.100357
10.888,491,249,1.102602
10.918,492,244,1.104238
10.951,492,240,1.105389
10.986,492,237,1.106194
11.019,492,235,1.10675
11.05,492,233,1.10713
11.086,492,232,1.107385
11.117,492,231,1.107549
11.149,492,231,1.107628
11.185,492,230,1.107665
11.218,492,230,1.107673
11.25,492,230,1.107663
11.285,492,230,1.107611
11.318,492,229,1.107505
11.35,492,229,1.107342
11.385,492,229,1.107146
11.417,492,229,1.106897
11.453,492,229,1.106587
11.485,492,229,1.106248
11.517,493,230,1.105856
11.553,493,230,1.105434
11.587,493,230,1.104984
11.617,493,230,1.104514
11.653,493,230,1.104031
11.685,494,230,1.103519
11.717,494,230,1.103019
11.753,494,231,1.102519
11.786,494,231,1.102023
11.818,494,232,1.101221
11.855,495,233,1.100495
11.885,495,234,1.099851
11.918,495,235,1.099162
11.953,495,235,1.098487
11.987,496,235,1.097842
12.018,496,236,1.097286
12.059,496,236,1.096813
12.091,496,236,1.09638
12.121,497,236,1.095983
12.156,497,236,1.095597
12.19,497,236,1.095202
12.222,497,237,1.094805
12.257,497,237,1.094318
12.291,498,237,1.093786
12.321,498,237,1.093251
12.353,498,237,1.092604
12.385,498,238,1.091908
12.417,499,238,1.091055
12.453,499,238,1.090229
12.485,499,239,1.089404
12.517,500,239,1.08861
12.553,500,240,1.087772
12.585,500,240,1.086969
12.621,500,241,1.086101
12.654,500,241,1.085199
12.685,500,242,1.08422
12.721,501,242,1.08323
12.753,500,246,1.082008
12.785,500,250,1.080986
12.821,499,254,1.080133
12.854,498,257,1.079422
12.885,498,260,1.078834
12.922,497,263,1.078313
12.955,496,264,1.077806
12.985,496,266,1.077325
13.022,496,268,1.076835
13.054,496,270,1.07635
13.085,495,271,1.07587
13.121,495,272,1.075386
13.153,495,273,1.074901
13.186,495,274,1.0744
13.222,495,275,1.073915
13.254,495,276,1.073426
13.285,495,277,1.072962
13.323,495,278,1.072505
13.353,495,278,1.07205
13.385,496,279,1.071609
13.423,496,280,1.071181
13.453,496,280,1.070762
13.485,496,280,1.07034
13.522,496,280,1.069909
13.553,496,281,1.069467
13.585,496,281,1.069015
13.621,496,282,1.068549
13.653,496,283,1.068079
13.684,496,283,1.067606
13.721,497,284,1.06712
13.753,498,284,1.066649
13.785,498,285,1.066184
13.822,498,285,1.065736
13.854,498,286,1.06531
13.889,498,286,1.064886
13.921,498,287,1.06448
13.953,498,287,1.064088
13.989,498,288,1.06371
14.02,499,288,1.063346
14.055,499,288,1.062965
14.089,499,289,1.062538
14.123,499,289,1.062065
14.152,499,289,1.061441
14.189,499,289,1.060642
14.222,499,290,1.059599
14.253,499,291,1.058213
14.289,498,292,1.05635
14.32,497,293,1.054086
14.353,496,294,1.051437
14.389,495,295,1.048312
14.421,493,296,1.04487
14.453,492,297,1.041124
14.489,490,298,1.037431
14.521,487,298,1.033826
14.556,485,298,1.030524
14.589,484,298,1.027549
14.621,482,298,1.02491
14.653,480,298,1.022583
14.69,478,298,1.020679
14.72,476,298,1.019097
14.753,476,298,1.017756
14.789,475,298,1.016598
14.821,474,298,1.015612
14.852,473,298,1.014738
14.891,472,298,1.013954
14.922,471,298,1.013274
14.952,471,298,1.012687
14.988,470,298,1.012183
15.022,470,298,1.011778
15.054,470,298,1.011458
15.088,470,298,1.011205
15.121,470,298,1.010925
15.157,470,298,1.010538
15.189,470,298,1.010028
15.222,471,298,1.009504
15.258,472,298,1.009042
15.288,474,298,1.008719
15.323,476,298,1.008558
15.358,476,298,1.008582
15.389,478,298,1.008809
15.42,480,298,1.00923
15.457,483,298,1.00994
15.488,484,299,1.010903
15.521,485,299,1.011957
15.557,487,299,1.013157
15.589,489,299,1.01437
15.622,491,299,1.015602
15.658,493,299,1.016796
15.689,493,300,1.017891
15.721,494,300,1.018883
15.758,496,300,1.019788
15.791,497,300,1.020664
15.821,498,300,1.021464
15.857,499,300,1.02219
15.888,501,300,1.022837
15.922,502,300,1.023407
15.957,502,300,1.023872
15.989,503,300,1.024138
16.021,505,301,1.024207
16.058,506,301,1.024138
16.091,507,301,1.023861
16.122,509,301,1.023432
16.156,510,301,1.022893
16.189,511,302,1.022212
16.221,512,302,1.021481
16.257,514,302,1.020779
16.289,515,302,1.020114
16.322,516,303,1.019466
16.357,517,303,1.018861
16.39,518,303,1.018314
16.424,519,303,1.017807
16.457,519,304,1.017342
16.49,519,304,1.016894
16.525,520,304,1.016452
16.557,520,304,1.016013
16.589,521,304,1.015518
16.625,521,304,1.014965
16.657,522,304,1.014376
16.689,522,304,1.013764
16.725,523,304,1.01317
16.757,523,304,1.012566
16.789,524,304,1.011984
16.834,524,305,1.011433
16.859,524,305,1.010923
16.891,524,305,1.010426
16.927,525,305,1.009922
16.959,525,305,1.009464
16.993,525,305,1.009051
17.031,525,305,1.008647
17.059,525,305,1.00828
17.092,525,305,1.007919
17.128,525,305,1.007481
17.16,525,305,1.007002
17.192,525,305,1.006498
17.226,525,305,1.005986
17.259,525,305,1.005479
17.292,526,305,1.004985
17.324,526,305,1.004508
17.356,526,306,1.004049
17.388,526,306,1.003606
17.436,526,306,1.003184
17.461,526,306,1.002779
17.491,526,306,1.002397
17.526,525,306,1.002071
17.558,525,306,1.001805
17.594,525,306,1.001572
17.626,525,306,1.001337
17.658,525,306,1.001101
17.7,524,306,1.000777
17.736,523,306,1.000388
17.758,522,306,0.9998758
17.794,520,306,0.9986032
17.826,518,306,0.9965052
17.86,514,306,0.9941049
17.893,510,306,0.9916984
17.926,507,306,0.9891638
17.957,503,306,0.9867702
17.993,499,306,0.9844439
18.024,495,307,0.9823555
18.056,492,307,0.9804749
18.095,489,307,0.9788551
18.125,486,307,0.9775087
18.156,485,307,0.9764048
18.193,483,307,0.9755093
18.224,482,307,0.9747854
