t,X,Y,Z
0.038,499,354,0.8388993
0.052,499,354,0.8391903
0.086,499,354,0.8392467
0.118,499,354,0.8392938
0.153,499,354,0.8393312
0.188,499,354,0.8392689
0.218,499,354,0.8392361
0.264,499,354,0.8392222
0.286,499,353,0.8392134
0.321,499,353,0.8392044
0.353,499,353,0.8391939
0.385,499,353,0.8391851
0.418,499,353,0.8391775
0.45,498,353,0.8394383
0.486,497,353,0.8397187
0.52,496,353,0.8400437
0.552,496,353,0.8402433
0.586,495,353,0.8404378
0.618,494,354,0.8406357
0.651,493,354,0.840853
0.686,492,354,0.8410797
0.722,491,354,0.8413069
0.75,490,354,0.8415247
0.786,489,354,0.8416657
0.82,489,354,0.8417558
0.85,489,354,0.8418031
0.886,489,354,0.8418317
0.919,489,354,0.8418441
0.953,489,354,0.8418561
0.99,489,354,0.8419091
1.018,490,353,0.8422033
1.055,492,351,0.8428735
1.09,495,348,0.8442452
1.119,500,341,0.846018
1.155,510,331,0.8464374
1.188,519,321,0.8472981
1.219,527,311,0.8493569
1.255,533,302,0.8532877
1.287,530,291,0.8652961
1.321,523,282,0.8765811
1.355,519,274,0.8875105
1.387,517,265,0.8972849
1.42,514,258,0.9055083
1.455,511,252,0.918034
1.488,509,246,0.9273223
1.521,509,241,0.9344133
1.555,508,237,0.9397617
1.587,508,236,0.9438983
1.619,506,234,0.946789
1.655,506,233,0.9486913
1.687,505,232,0.9499172
1.719,506,232,0.9507149
1.757,506,232,0.9499205
1.788,505,233,0.9494397
1.819,504,236,0.94885
1.856,502,239,0.9480233
1.887,502,242,0.9464436
1.919,501,245,0.9439148
1.955,500,249,0.9396517
1.988,504,257,0.9228577
2.019,506,263,0.9083028
2.054,507,270,0.895183
2.088,506,276,0.8833674
2.119,503,281,0.8731507
2.154,498,287,0.8648453
2.186,492,291,0.8582973
2.222,484,295,0.8533852
2.255,477,298,0.8497709
2.287,469,301,0.8473481
2.323,461,303,0.845915
2.357,455,304,0.8451574
2.388,449,305,0.8450111
2.423,444,305,0.8453439
2.454,438,304,0.8459855
2.486,433,303,0.8469265
2.522,428,302,0.8483775
2.558,424,301,0.8498859
2.586,420,300,0.8512563
2.622,417,300,0.8526196
2.654,414,299,0.853811
2.686,411,299,0.8548324
2.723,409,298,0.8556632
2.754,407,298,0.8563222
2.786,405,298,0.8568541
2.825,404,297,0.8572984
2.854,403,297,0.8576669
2.886,401,297,0.857975
2.922,401,296,0.8582193
2.955,400,296,0.8584124
2.986,400,296,0.8585171
3.022,400,296,0.8585503
3.054,399,296,0.8585215
3.087,399,296,0.8584674
3.122,399,296,0.858252
3.154,400,295,0.8579057
3.186,400,296,0.8574391
3.224,400,296,0.8568762
3.255,400,296,0.8562792
3.291,401,296,0.8556571
3.323,403,296,0.8549857
3.354,404,297,0.854282
3.39,406,297,0.8535925
3.422,408,298,0.8529036
3.454,409,298,0.8522421
3.505,411,299,0.8516523
3.523,413,299,0.8510168
3.554,416,300,0.8503845
3.59,418,301,0.8497584
3.622,421,303,0.8491344
3.655,424,304,0.848583
3.691,427,306,0.8480157
3.722,430,308,0.8474886
3.754,434,309,0.8470435
3.806,437,312,0.8463612
3.825,442,315,0.8456489
3.856,445,316,0.8450208
3.894,449,319,0.8444943
3.924,452,323,0.8442267
3.959,454,325,0.8440773
3.991,457,328,0.8442014
4.024,459,331,0.844398
4.059,460,333,0.8446078
4.092,461,337,0.8448209
4.124,462,340,0.8451663
4.155,463,343,0.8456003
4.192,464,346,0.8462079
4.225,465,349,0.8469432
4.256,465,352,0.8479409
4.292,465,355,0.8489485
4.325,466,358,0.8499864
4.358,466,360,0.8510457
