t,X,Y,Z
11.841,401,305,0.8453215
11.876,401,305,0.8456296
11.908,401,306,0.8459169
11.943,401,306,0.8461841
11.977,401,306,0.8464343
12.007,401,306,0.8466685
12.039,401,306,0.8468871
12.076,401,307,0.8470915
12.11,401,307,0.8472819
12.142,401,307,0.847459
12.176,401,307,0.8476248
12.208,401,307,0.8477771
12.24,401,307,0.8479207
12.276,401,307,0.8480574
12.311,401,308,0.8481874
12.339,401,308,0.8483112
12.376,401,308,0.8484308
12.41,401,308,0.8485462
12.444,401,308,0.8486562
12.476,401,308,0.8487631
12.508,401,308,0.8488664
12.545,401,308,0.8489659
12.578,401,308,0.8490632
12.608,401,308,0.8491567
12.643,401,308,0.8492466
12.676,401,308,0.8493349
12.708,401,308,0.8494523
12.746,401,308,0.8496983
12.775,402,309,0.8503976
12.809,404,310,0.8511508
12.848,406,311,0.8519141
12.876,407,311,0.8524283
12.911,417,295,0.845354
12.944,426,282,0.8399478
12.976,433,273,0.8361201
13.006,438,266,0.8334857
13.043,443,263,0.8316984
13.075,445,259,0.8304896
13.107,448,257,0.8296723
13.143,450,255,0.8291177
13.175,452,255,0.8287389
13.206,453,254,0.8284793
13.242,453,254,0.8282973
13.274,453,253,0.8281578
13.309,454,253,0.8280389
13.345,454,253,0.8279117
13.375,454,252,0.8277377
13.407,454,251,0.8274809
13.444,451,259,0.8310425
13.476,447,266,0.83455
13.506,436,280,0.8380987
13.544,430,286,0.8396369
13.576,426,290,0.8406421
13.606,422,295,0.8412404
13.665,418,298,0.8415638
13.679,416,299,0.8417019
13.713,414,301,0.8417211
13.744,412,303,0.8416637
13.777,410,304,0.8415573
13.811,409,305,0.8414254
13.845,408,306,0.8412802
13.879,407,307,0.8411316
13.911,406,307,0.8409722
13.946,405,308,0.8407965
13.976,408,311,0.8382214
14.011,410,316,0.8356285
14.044,413,319,0.8332778
14.076,416,323,0.8312236
14.114,418,325,0.8295005
14.146,422,330,0.827843
14.176,426,338,0.8263159
14.221,430,344,0.8251917
14.244,433,349,0.82443
14.279,435,351,0.8238303
14.311,437,351,0.8234085
14.344,439,352,0.823121
14.375,441,352,0.8229351
14.411,443,352,0.8228353
14.443,444,352,0.8227887
14.475,445,352,0.8227761
14.511,446,352,0.8227816
14.545,447,351,0.8227996
14.576,448,351,0.8228326
14.61,449,351,0.8228686
14.642,450,351,0.8229008
14.673,450,351,0.8229245
14.713,451,351,0.8229265
14.742,451,351,0.8229154
14.776,451,351,0.8229084
14.819,451,351,0.8229032
14.843,451,351,0.8228866
14.874,451,351,0.8228658
14.91,451,351,0.8222986
14.943,450,352,0.8215739
14.978,450,354,0.820708
15.014,449,355,0.8199148
15.043,448,356,0.8188636
15.078,448,358,0.8178353
15.111,447,359,0.8167227
15.145,447,360,0.8155054
15.178,447,360,0.8147038
15.211,447,361,0.8141074
15.243,446,361,0.8136151
15.279,446,362,0.8131996
15.31,446,362,0.8128639
15.342,446,362,0.8125923
15.378,446,363,0.8123696
15.41,446,363,0.8121548
15.444,446,363,0.8119465
15.479,446,363,0.8117422
15.51,446,363,0.8115447
15.543,446,363,0.8111241
15.578,446,363,0.8102034
15.611,445,363,0.8092464
15.645,445,363,0.8082899
15.678,445,363,0.8073587
15.71,445,363,0.806316
15.746,445,363,0.8052247
15.778,444,363,0.8041174
15.811,443,365,0.7984985
15.844,441,366,0.7935279
15.878,439,367,0.7890614
15.911,439,367,0.7885002
15.947,439,367,0.788587
15.978,439,366,0.7891187
16.014,439,365,0.7899054
16.044,439,365,0.7908112
16.08,438,362,0.7934325
16.113,439,362,0.8029933
16.148,439,360,0.8063423
16.18,441,358,0.8148176
16.212,443,356,0.8215628
16.248,443,355,0.8267867
16.281,443,355,0.8307918
16.315,443,355,0.833831
16.351,443,354,0.8361517
16.379,443,354,0.8379535
16.414,443,354,0.8393725
16.447,442,353,0.8405275
16.482,442,353,0.841453
16.514,441,352,0.8421668
16.548,440,351,0.8427955
16.582,439,351,0.8433486
16.612,439,351,0.8438135
16.648,438,350,0.8442006
16.681,437,350,0.8445276
16.712,436,349,0.8448052
16.747,435,349,0.8450317
16.78,435,348,0.8452331
16.813,435,348,0.8454117
16.847,434,347,0.8455855
16.879,434,347,0.8457518
16.913,433,347,0.845898
16.947,433,347,0.8460292
16.98,433,346,0.8461506
17.011,433,346,0.8462553
17.049,432,346,0.8463581
17.082,418,338,0.8822981
17.112,408,332,0.9106097
17.148,401,328,0.9311478
17.18,397,326,0.9455933
17.212,393,324,0.9555665
17.247,391,322,0.9624873
17.279,398,329,0.9425378
17.311,401,329,0.938847
17.349,404,330,0.9357044
17.382,407,330,0.9314033
17.415,411,330,0.9277519
17.447,415,330,0.9253258
17.48,417,330,0.9238809
17.519,420,330,0.9232151
17.547,421,330,0.9228634
17.58,423,330,0.9231686
17.615,424,330,0.9235587
17.648,425,330,0.9238153
17.681,425,330,0.9241598
17.715,426,330,0.9246048
17.747,425,331,0.9264494
17.781,425,331,0.9284841
17.817,426,332,0.9305198
17.847,427,333,0.93051
17.879,428,334,0.9302394
17.914,430,334,0.9293779
17.947,432,336,0.928517
17.981,433,338,0.9264773
18.016,435,340,0.9256124
18.047,438,342,0.9242027
18.08,440,342,0.9226645
18.115,442,344,0.9210418
18.149,443,346,0.9195126
18.179,444,347,0.9181499
18.214,445,349,0.9169196
18.245,447,350,0.9158121
18.277,448,351,0.9148329
18.315,449,351,0.9139743
